Strain,Condition,Rep,dP_patch,dT_patch,Ratio,Width
Ctr,A,1,43.56136364,9.9828125,0.247834706,120.7914679
Pu,B,1,4.99140625,9.075284091,0.46375114,134.2805699
Tp,C,1,16.33551136,7.94087358,0.576851628,12.53512785
Pu Tp,D,1,nan,6.125816761,0.630341118,260.2620664
Pp,E,1,nan,131.8185014,0.143830168,859.9831016
Pp Pu,F,1,168.3465199,124.1045099,0.369906627,852.3568056
Pp Tp,G,1,149.0615412,99.828125,0.436756299,957.6220911
Pu Pp Tp,H,1,151.3303622,126.6002131,0.416490828,870.747643
Ctr + aa,AA,1,nan,170.6153409,0.336861772,1269.088152
Ctr,A,2,29.9484375,7.713991477,0.274675532,157.8980351
Pu,B,2,nan,nan,0.410184847,169.9786389
Tp,C,2,nan,8.394637784,0.565699981,0.170589088
Pu Tp,D,2,4.99140625,10.66345881,0.6082249,244.7114643
Pp,E,2,260.0068892,148.607777,0.279939877,822.0174832
Pp Pu,F,2,147.9271307,130.0034446,0.384825502,864.7495636
Pp Tp,G,2,87.12272727,83.71949574,0.501086636,850.2554758
Pu Pp Tp,H,2,125.2389205,146.7927202,0.491911595,792.8278667
Ctr + aa,AA,2,132.0453835,221.4369318,0.630093373,1145.506617
Ctr,A,3,31.53661222,10.89034091,0.225064434,73.47930375
Pu,B,3,11.11722301,7.487109375,0.356883017,280.8776802
Tp,C,3,6.125816761,7.260227273,0.624756734,-18.34953788
Pu Tp,D,3,4.99140625,14.52045455,0.64894237,390.6176949
Pp,E,3,188.7659091,118.8862216,0.150234887,770.5601328
Pp Pu,F,3,107.5421165,107.0883523,0.429279067,807.1612142
Pp Tp,G,3,361.650071,114.8023438,0.32516218,801.3143658
Pu Pp Tp,H,3,146.5658381,111.8528764,0.463593955,855.9909423
Ctr + aa,AA,3,120.7012784,103.9120028,0.392483886,1099.357966
Ctr,A,4,19.5118608,10.4365767,0.265547482,73.0706729
Pu,B,4,5.672052557,7.487109375,0.453078511,195.4366041
Tp,C,4,7.260227273,9.529048295,0.597329281,6.880961848
Pu Tp,D,4,nan,7.713991477,0.612469563,275.4850092
Pp,E,4,215.5379972,100.0550071,0.147615928,735.7069505
Pp Pu,F,4,164.0357599,nan,0.332861472,927.4451348
Pp Tp,G,4,184.9089134,131.5916193,0.283560598,841.7595136
Pu Pp Tp,H,4,126.8270952,141.5744318,0.295413906,894.9382949
Ctr + aa,AA,4,125.2389205,118.8862216,0.570720933,1122.426801
Ctr,A,5,87.80337358,9.529048295,0.263668097,103.4849768
Pu,B,5,24.73014915,nan,0.430429603,131.1322614
Tp,C,5,22.91509233,6.806463068,0.575601992,29.11837483
Pu Tp,D,5,4.99140625,6.806463068,0.62668315,295.9445711
Pp,E,5,235.7305043,122.9700994,0.180134993,828.1524189
Pp Pu,F,5,110.2647017,125.2389205,0.444500899,810.0397412
Pp Tp,G,5,206.6895952,119.79375,0.492661099,818.3627558
Pu Pp Tp,H,5,130.910973,124.331392,0.425035521,952.6712573
Ctr + aa,AA,5,123.4238636,122.5163352,0.667138528,1298.445548
Ctr,A,6,20.1925071,9.302166193,0.279766758,70.41131451
Pu,B,6,5.445170455,7.487109375,0.400419405,83.9208152
Tp,C,6,8.167755682,9.755930398,0.606655155,-33.29882947
Pu Tp,D,6,5.218288352,9.302166193,0.628773698,322.3173428
Pp,E,6,498.0062145,95.06360085,0.250414313,806.4693096
Pp Pu,F,6,189.2196733,137.2636719,0.362181427,864.0977927
Pp Tp,G,6,148.8346591,131.1378551,0.419770917,809.5108369
Pu Pp Tp,H,6,nan,147.2464844,0.327709401,871.0074146
Ctr + aa,AA,6,190.5809659,187.4046165,0.555499101,1199.686943
